id,from,to,priority,type,shape,spreadType
38071249#3,6568207616,6568207771,3,highway.residential,"[3986.07, 2705.88]",center
38071249#8,6568207771,9848177565,3,highway.residential,"[3805.89, 2548.27]",center
38071249#9,9848177565,9848177563,3,highway.residential,"[3659.14, 2532.55]",center
38071762#0,314796646,447795256,3,highway.residential,"[3737.24, 2334.83]",
38071762#1,447795256,cluster_447795258_6568207667_6568207669,3,highway.residential,"[3763.54, 2337.62]",
38329665#2,314796645,cluster_314796636_6568207664_6568207666,3,highway.residential,"[3763.54, 2337.62]",
38329665#5,cluster_314796636_6568207664_6568207666,287523226,3,highway.residential,"[3828.38, 2345.15]",
38329665#6,287523226,cluster_447795258_6568207667_6568207669,3,highway.residential,"[3828.38, 2345.15]",
38329665#9,cluster_447795258_6568207667_6568207669,cluster_6568207743_6568207745_9848177519_9848177526,3,highway.residential,"[4025.24, 2367.06]",
38449284,6568207616,677022931,3,highway.residential,"[4117.79, 2378.01]",
38548953,6568207668,cluster_447795258_6568207667_6568207669,3,highway.residential,"[4116.42, 2389.75]",center
38548954,cluster_447795258_6568207667_6568207669,6568207670,3,highway.residential,"[4033.96, 2379.75]",center
38550723#0,6579757140,456363765,3,highway.residential,"[3762.37, 2348.76]",
38658729,457838710,457838711,3,highway.residential,"[3736.22, 2345.79]",
39205058,cluster_314796636_6568207664_6568207666,6446273483,3,highway.residential,"[3503.08, 2161.72]",
39205059,6446273483,314796645,3,highway.residential,"[3750.64, 1898.22]",
393878335#0,3969237228,3969237225,10,highway.tertiary,"[3744.07, 1970.9]",center
393878336#0,3969237229,3969237233,10,highway.tertiary,"[3841.74, 2054.84]",center
39530065,cluster_4325419700_6572911046,473604480,3,highway.residential,"[3855.66, 1909.83]",
39550870,7650476418,7650476399,6,highway.secondary_link,"[3566.7, 2022.84]",center
39550871,7650476446,7650476430,6,highway.secondary_link,"[3899.86, 1694.38]",center
40579529#0,6570524732,cluster_6570524682_6570524683,3,highway.residential,"[3908.62, 1620.7]",center
40579529#1,cluster_6570524682_6570524683,cluster_6135315669_6570524733_6570524734_6570524737_6865759172,3,highway.residential,"[3592.3, 1807.22]",center
41036024#0,500094881,500094885,3,highway.residential,"[3680.58, 2329.16]",
41336031#0,41336031#0-AddedOnRampNode,6135315635,12,highway.primary,"[3358.08, 2629.65]",center
41336031#0-AddedOnRampEdge,8780545394,41336031#0-AddedOnRampNode,12,highway.primary,"[3436.7, 2783.08]",center
41336031#1,6135315635,8700679549,12,highway.primary,"[3482.27, 2788.42]",center
41336031#12,6572827961,442349876,12,highway.primary,"[3670.26, 2810.99]",center
41336031#14,6479606083,7937296048,12,highway.primary,"[3744.96, 2819.38]",center
41336031#15,7937296048,8244864142,12,highway.primary,"[3746.94, 2819.59]",center
41336031#16,8244864142,cluster_7937296083_8074011466_8074011468,12,highway.primary,"[3921.18, 2838.56]",center
41336031#2,8700679549,3675027593,12,highway.primary,"[3962.87, 2842.91]",center
41336031#4,3675027595,41336031#4-AddedOffRampNode,12,highway.primary,"[3498.04, 2651.35]",center
41336031#4-AddedOffRampEdge,41336031#4-AddedOffRampNode,8318634315,12,highway.primary,"[3652.46, 2603.4]",center
41336031#8,3675027601,286833780,12,highway.primary,"[4513.63, 2716.16]",center
41669755#0,6570524684,cluster_280772563_6570524690_6570524691_6570524735,3,highway.residential,"[4513.63, 2716.16]",center
41669755#2,cluster_280772563_6570524690_6570524691_6570524735,cluster_280772564_367884043,3,highway.residential,"[4514.63, 2708.19]",center
41669755#3,cluster_280772564_367884043,cluster_280772088_6572827985,3,highway.residential,"[4516.93, 2688.01]",center
41669755#4,cluster_280772088_6572827985,cluster_6572827983_6572827984,3,highway.residential,"[4519.37, 2668.65]",center
41669755#5,cluster_6572827983_6572827984,cluster_6570524693_6570524694,3,highway.residential,"[4521.79, 2649.47]",center
41669755#6,cluster_6570524693_6570524694,cluster_367884018_367885853_367886008_6568148769,3,highway.residential,"[4524.3, 2629.61]",center
51799432#0,8771565253,6570399063,10,highway.tertiary,"[4531.67, 2571.17]",center
51799432#1,6570399063,500094881,10,highway.tertiary,"[4535.49, 2539.25]",center
