id,from,to,priority,type,shape,spreadType
687628389,6446170095,267610773,3,highway.residential,"3633.28,3138.97 3637.86,3103.84 3637.84,3102.03 3637.33,3100.30 3636.34,3098.78 3630.42,3090.30 3619.97,3078.43 3618.21,3075.50 3616.82,3072.38 3615.79,3069.11 3615.16,3065.77 3616.28,3037.88 3617.20,3035.68 3618.95,3034.06 3620.67,3033.37 3622.52,3033.27 3686.64,3040.53 3689.46,3041.56 3691.38,3043.87 3691.88,3046.84 3687.20,3084.46 3686.19,3087.87 3684.18,3090.81 3671.49,3102.32 3668.88,3105.20 3667.45,3108.81 3663.33,3142.11",
690157291#0,6474887540,cluster_6569939661_6569939663,3,highway.residential,"5439.46,2466.03 5442.34,2494.73",
690157291#2,cluster_6569939661_6569939663,6569939701,3,highway.residential,"5443.17,2503.06 5445.59,2527.14",
690157292#1,6569939701,6569939693,3,highway.residential,"5445.59,2527.14 5452.33,2527.76 5458.67,2530.16 5464.15,2534.12 5468.37,2539.40",
690402653,7937296069,7937296067,7,highway.primary_link,"5245.61,1653.91 5249.50,1650.46 5252.59,1652.52 5255.15,1655.20 5257.03,1658.39 5258.17,1661.89 5258.51,1665.58 5258.02,1669.25 5256.72,1672.71 5254.69,1675.80 5252.03,1678.38 5249.37,1675.52",center
690623724#1,367885300,6570524767,3,highway.residential,"4928.27,3093.51 4868.41,3086.20 4863.63,3085.62",
690635100#1,cluster_6474887534_6474887535_8074157124,3675027601,3,highway.residential,"5268.92,2696.59 5334.98,2708.40 5352.78,2711.84",center
693435047#0,6510095972,cluster_6510095973_6510095975,3,highway.residential,"2231.47,2565.04 2190.12,2560.11 2148.91,2555.21",center
693475726,7938194066,7938194065,7,highway.primary_link,"2427.83,1363.55 2423.78,1366.20 2420.89,1363.38 2418.70,1360.00 2417.33,1356.21 2416.83,1352.22 2417.25,1348.22 2418.54,1344.40 2420.65,1340.98 2423.47,1338.10 2426.18,1340.67",center
693475727,7938194052,6574209413,7,highway.primary_link,"2340.71,1328.39 2343.45,1327.23 2345.03,1331.20 2345.86,1335.38 2345.92,1339.64 2345.22,1343.86 2343.78,1347.87 2341.62,1351.56 2338.84,1354.80 2335.54,1357.63",center
